Title	URL	Assignees	Status	Task Type	Nature	Epic	Time Estimation	Sprint	Time Taken
Remove/add member in group	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/213	oliver216	Sprint Backlog	Backend	Sprint Task	2	6	Sprint 9	
Make the shared timer runs in the background 	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/96	hanelmouta	Done in Sprint 7	Backend	Sprint Task	1	24	Sprint 7	32
Send Files in chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/192	cemuelle	Done in Sprint 8	Backend	Sprint Task	2	2	Sprint 8	4
Send Link in Chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/193	cemuelle	Done in Sprint 8	Backend	Sprint Task	2	2	Sprint 8	3
Implement calls for each group and fix returning to call bug	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/125	Freezemoon	Done in Sprint 8	Backend	Sprint Task	2	7	Sprint 7	12
Implement a call lobby before joining a call	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/126	Freezemoon	Done in Sprint 8	Frontend	Sprint Task	2	5	Sprint 8	12
add tests to ToDoList	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/188	TdVBd	In Development	Tests	Sprint Task		5	Sprint 8	
Create group home page	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/89	Freezemoon, Svannia	Done in Sprint 7	Backend	Sprint Task	1	3	Sprint 7	2
Add User Location to Database	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/135	Ovoland	Done in Sprint 7	Backend	Sprint Task	1	2	Sprint 7	3
Add all user locations on the map	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/136	Ovoland	Done in Sprint 7	Backend	Sprint Task	1	4	Sprint 7	5
Add group settings nav in group screen	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/142	oliver216	Done in Sprint 8	Frontend	Sprint Task	2	3	Sprint 7	2
Fixing map bug with database	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/172	Ovoland	Done in Sprint 8	Backend	Sprint Task	1	2	Sprint 8	2
Improved tests and set up End to End tests	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/97	Ovoland	Done in Sprint 8	Tests	Sprint Task	1	6	Sprint 7	11
Implement topics chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/110	cemuelle	Done in Sprint 7	Frontend	User Story	2	3	Sprint 7	4
Topic chat	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/191	cemuelle	Done in Sprint 7	Backend	Sprint Task	1	3	Sprint 7	4
Add ability to send pictures in chats	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/137	cemuelle	Done in Sprint 7	Backend	Sprint Task	2	6	Sprint 7	8
Topic items	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/140	Svannia	Done in Sprint 7	Frontend	Sprint Task	2	3	Sprint 7	5
Fix "save" button behaviour	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/88	Svannia	Done in Sprint 7	Backend	Sprint Task	1	0.5	Sprint 7	4
Leave group	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/141	oliver216	Done in Sprint 7	Backend	Sprint Task	2	7	Sprint 7	14
corrected the single timer and made it run in the background	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/171	hanelmouta	Done in Sprint 7	Backend	Sprint Task		15		20
Create a Fake database	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/195	Ovoland	In Development	Tests	User Story	1	4	Sprint 8	5
Create a daily planner	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/207	hanelmouta	Done in Sprint 8				15		25
Delete the event/ Modify the ui of daily planner	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/222	hanelmouta	Sprint Backlog				16		
Solo Calendar			Sprint Backlog		User Story				
User Profile			Sprint Backlog		User Story				
Timers			Sprint Backlog		User Story	1			
Contacts list	https://github.com/Study-Buddies-SwEnt/SwEnt_Group_project/issues/146		Sprint Backlog		User Story	1			
